season,competition,mode,game_no,Team,Team.1,W,L,MIN,PTS,2FG,3FG,FT,O,D,T,AST,STL,TOV,BLK_FV,BLK_AG,FLS_CM,FLS_RV,PIR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,2FG_M,2FG_A,3FG_M,3FG_A,FT_M,FT_A
2025,E,perGame,1.0,1.0,Hapoel Shlomo Tel Aviv,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,E,perGame,2.0,2.0,Valencia Basket,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,E,perGame,3.0,3.0,Zalgiris Kaunas,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,E,perGame,4.0,4.0,AS Monaco,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,E,perGame,5.0,5.0,Fenerbahce Beko Istanbul,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,E,perGame,,,,,,,,,,,1.0,,,,,,,,,,,Date,Opponent,MIN,2P M/A,3P M/A,FT M/A,REB,AS,ST,TO,BS,RBS,PF,RF,PTS,EFF,,,,,,
2025,E,perGame,,,,,,,,,,,2.0,,,,,,,,,,,10-03,Panathinaikos AKTOR Athens,28,55.6%  5/9,80%  4/5,50%  1/2,6  3/3,3,1,2,0,0,2,3,23,26,,,,,,
2025,E,perGame,,,,,,,,,,,3.0,,,,,,,,,,,09-30,Hapoel Shlomo Tel Aviv,24,83.3%  5/6,60%  3/5,100%  4/4,7  5/2,2,0,1,1,0,1,2,23,30,,,,,,
2025,E,perGame,,,,,,,,,,,4.0,,,,,,,,,,,04-11,FC Barcelona,23,0%  0/1,55.6%  5/9,-  0/0,3  3/0,2,0,2,0,0,2,2,15,13,,,,,,
2025,E,perGame,,,,,,,,,,,5.0,,,,,,,,,,,04-04,EA7 Emporio Armani Milan,23,100%  3/3,25%  1/4,80%  4/5,4  3/1,0,0,2,0,0,1,5,13,15,,,,,,
2025,E,perGame,,,,,,,,,,,6.0,,,,,,,,,,,03-28,ALBA Berlin,18,50%  2/4,40%  2/5,100%  4/4,6  6/0,4,1,2,0,0,0,2,14,20,,,,,,
2025,E,perGame,,,,,,,,,,,7.0,,,,,,,,,,,03-26,Crvena Zvezda Meridianbet Belgrade,26,50%  4/8,0%  0/4,80%  4/5,5  2/3,2,0,2,0,1,0,3,12,10,,,,,,
2025,E,perGame,,,,,,,,,,,8.0,,,,,,,,,,,03-20,Maccabi Playtika Tel Aviv,27,30%  3/10,25%  2/8,50%  1/2,8  5/3,3,5,1,0,1,2,4,13,15,,,,,,
2025,E,perGame,,,,,,,,,,,9.0,,,,,,,,,,,01-03,Panathinaikos AKTOR Athens,28,57.1%  4/7,71.4%  5/7,100%  2/2,4  4/0,5,1,0,0,0,2,5,25,33,,,,,,
2025,E,perGame,,,,,,,,,,,10.0,,,,,,,,,,,12-27,LDLC ASVEL Villeurbanne,26,50%  1/2,50%  3/6,66.7%  2/3,6  5/1,2,3,2,0,0,1,4,13,20,,,,,,
2025,E,perGame,,,,,,,,,,,11.0,,,,,,,,,,,12-20,FC Barcelona,26,50%  3/6,0%  0/4,-  0/0,2  0/2,2,2,1,1,0,3,2,6,4,,,,,,
