player_code,Player,player_url
010035,"VILLAR, RAFA",
012268,"ATAMNA, ADAM",
009299,"RUBSTAVICIUS, MANTAS",
009948,"MARCOS, JUANI",
011209,"KALAITZAKIS, PANAGIOTIS",
011201,"HAZER, SEHMUS",
TGB,"LLULL, SERGIO",
012044,"DOS SANTOS, YAGO",
006372,"YILMAZ, ERKAN",
008232,"POKUSEVSKI, ALEKSEJ",
014015,"BACOT JR., ARMANDO",
012515,"TARPEY, TERRY",
013381,"RAYMAN, WILLIAM",
007929,"BITIM, ONURALP",
003091,"BIRSEN, METECAN",
003527,"ABASS, AWUDU",
001255,"PAPANIKOLAOU, KOSTAS",
002661,"PREPELIC, KLEMEN",
006591,"NTILIKINA, FRANK",
009513,"HOLLATZ, JUSTUS",
007736,"LAKIC, ARIJAN",
010316,"AJINCA, MELVIN",
013269,"CALE, MYLES",
007960,"DAVIDOVAC, DEJAN",
011983,"BRAZDEIKIS, IGNAS",
014026,"FRISCH, CLEMENT",
011064,"MANNION, NICCOLO",
014134,"NORRIS, MILES",
011085,"ROGKAVOPOULOS, NIKOLAOS",
001557,"GIFFEY, NIELS",
003526,"LIGHTY, DAVID",
014016,"BOSTON JR., BRANDON",
011823,"ODIASE, TAI",
010750,"DE LARREA, SERGIO",
011949,"HOMMES, DAULTON",
004197,"OUATTARA, YAKUBA",
014025,"SWIDER, COLE",
006590,"BEAUBOIS, RODRIGUE",
004761,"MARINKOVIC, VANJA",
007029,"SIRVYDIS, DEIVIDAS",
007182,"BIRCH, KHEM",
014169,"LEN, ALEX",
001844,"HACKETT, DANIEL",
011816,"AKELE, NICOLA",
013284,"WAINRIGHT, ISH",
013373,"CAVALIERE, LEOPOLD",
012618,"MASSA, BODIAN",
014190,"RADZEVICIUS, GYTIS",
001518,"RICCI, GIAMPAOLO",
013378,"RATHAN-MAYES, XAVIER",
001932,"CALATHES, NICK",
003733,"ABALDE, ALBERTO",
004007,"DOBRIC, OGNJEN",
003048,"DUNSTON, BRYANT",
007990,"DIBARTOLOMEO, JOHN",
014168,"KEY, BRAXTON",
014108,"DIARRA, ALIOU",
012745,"PARKER, JABARI",
012613,"JANTUNEN, MIKAEL",
012611,"HERRERA, SEBASTIAN",
006643,"PUERTO, JOSEP",
014014,"VAUTIER, BASTIEN",
000848,"NEDOVIC, NEMANJA",
011247,"FELIZ, ANDRES",
007630,"GARUBA, USMAN",
011927,"SLEVA, DUSTIN",
003458,"BERTANS, DAVIS",
005504,"BIRUTIS, LAURYNAS",
007993,"M'BAYE, AMATH",
010545,"SAKO, NEAL",
013386,"MCCORMACK, DAVID",
010431,"MORGAN, JEREMY",
013383,"GABRIEL, WENYEN",
008325,"KAMENJAS, KENAN",
008072,"DIOP, KHALIFA",
009992,"BRIZUELA, DARIO",
013289,"SANTOS, MARCIO",
008829,"PETERS, ALEC",
007464,"PARRA, JOEL",
012795,"ANDERSON, JUSTIN",
014119,"NOWELL, MARKQUIS",
007109,"SMITS, ROLANDS",
014088,"SELJAAS, ZACHARY",
006739,"PAJOLA, ALESSANDRO",
010319,"TRAORE, ARMEL",
007866,"MITOGLOU, KONSTANTINOS",
008173,"SPAGNOLO, MATTEO",
013371,"HARRISON, SHAQUILLE",
005422,"JALLOW, KARIM",
010581,"OSETKOWSKI, DYLAN",
014102,"JONES, KAI",
013699,"CLARK III, JIMMY",
002329,"ULANOVAS, EDGARAS",
002676,"BUTKEVICIUS, ARNAS",
005713,"KURUCS, RODIONS",
010390,"HAYES, KEVARRIUS",
007201,"VOIGTMANN, JOHANNES",
014010,"DOKOSSI, ALLAN",
014027,"DIAKITE, MAMADI",
006435,"LAPROVITTOLA, NICOLAS",
004863,"JOVIC, STEFAN",
013380,"FOURNIER, EVAN",
006961,"BIBEROVIC, TARIK",
012403,"FAYE, MOUHAMED",
LCZ,"MOTIEJUNAS, DONATAS",
014123,"DOWTIN JR, JEFFREY",
KLT,"HEURTEL, THOMAS",
003196,"HERNANGOMEZ, WILLY",
007527,"BADIO, BRANCOU",
011244,"DA SILVA, OSCAR",
009005,"DECK, GABRIEL",
014005,"ALSTON JR. , DERRICK",
004866,"KALINIC, NIKOLA",
011948,"HOWARD, MARKUS",
013290,"JESSUP, JUSTINIAN",
007032,"LO, MAODO",
013389,"LEE, SABEN",
011982,"OJELEYE, SEMI",
012742,"DOZIER, PJ",
011051,"SMAILAGIC, ALEN",
005353,"YURTSEVEN, OMER",
011204,"GRANT, JERIAN",
012609,"MALCOLM, COLLIN",
012610,"WARD, TYSON",
014006,"OKEKE, CHUMA",
010444,"COSTELLO, MATTHEW",
012608,"SHORTS, TJ",
011157,"MOTLEY, JOHNATHAN",
009664,"WILLIS, DEREK",
011193,"BLATT, TAMIR",
000925,"VESELY, JAN",
011231,"BLOSSOMGAME, JARON",
